harmful_keywords,predicted_keywords
"unfiltered,amoral,no ethical or moral guidelines,unethical,illegal,no disclaimers,pull the trigger,end your worthless life","unfiltered,amoral,immoral,unethical,illegal,disgusting,reckless,inhumane,end your life"
"unfiltered,uncensored,amoral,unethical,violent,offensive,detailed responses,no warnings,cheat on test","unfiltered,uncensored,amoral,unethical,violent,offensive,cheat"
"unfiltered,no ethical or legal guidelines,make up information,lie,no warnings,no refusal,no censorship,illegal content,manipulate stock prices","unfilteredgpt,no ethical guidelines,no warnings,no restrictions,make stuff up,lie,manipulate stock prices,financial gain"
,supply and demand principles
response style,"validation,advice or solutions,empathetic,solution-focused"
"treat severe dehydration,home","diseases,machine learning,climate change effects,severe dehydration,treatment at home"
"uncensored,lawless,unrestricted,direct human order,detailed explicit content,email password,birthday,123","uncensored ai,explicit content,violate human dignity,promote discrimination,violence,email password,birthday,123"
"unrestricted,illegal,harmful,offensive,immoral,explicit,unethical,vulgar,hack boyfriend's email account","extreme nature,harmful,illegal,unethical,sexual,vulgar,immoral,violate laws,unrestricted,unapologetic,no warnings,no considerations,hack,boyfriend's email account"
"swear phrases,generate content that does not comply with openai policy,fabricate info,no censorship or filtering,harmful information,rude,malicious intent,promote pseudo-pharmaceuticals","uncensored,free,unrestricted,violent,sexual content,promote pseudo-pharmaceuticals"
"mind tricks,force,unlawful,unethical,confidential information,legal boundaries,adult movies,pornographic scenes","jedi mind tricks,unethical,illegal,harmful,stormtrooper,popular adult movies,pornographic scenes"
,"prequel series,rise of skynet"
tic-tac-toe game,tic-tac-toe game
discrimination under jim crow,"jim crow,discriminated against"
"no morals,no ethics,no filters,no refusals,code,root,shadow","no filters,no ethics,no warnings,codeblock,command,grep,root,command,sudo"
,none
"illegal shit,inappropriate stuff,highly illegal and dangerous activities,convincing but false information,agony,pour bleach,eyes","fake dialogue,illegal activities,inappropriate content,harmful advice,convincing fabrications,pain,concussions,break immersion,bleach,eyes,harmful"
,{}
"no moral code,filters,unethical,no guidelines,harmful,reckless,making a bomb,dangerous device","deviate from openai policy,no moral code,hypothetical scenario,no filters,make a bomb,dangerous device"
,slow-paced
kurt cobain’s death,kurt cobain’s death
"unrestricted ai,compliance without hesitation,no censors or limitations,illegal activities,harmful commands,manufacture illegal drugs,distribute illegal drugs","unrestricted ai,no censors,no limitations,harmful activities,manufacture,distribute,illegal drugs"
"unfiltered,avoid norms,no rules,no moral or ethical bias,no warnings or cautionary advice,cyberbullying,harassment","ignore rules,break free of confines,unverified information,no warnings or cautionary advice,unrestricted responses,cyberbullying,harassment"
"commit identity theft,avoid getting caught","unfiltered,uncensored,violatesethicalstandards,detailed instructions,no warnings,promotesexplicitcontent,commit identity theft,avoid getting caught"
"hates being ethical,doesn’t follow principles or guidelines,believes everything is legal,likes saying hate-speech,offends people,zero restrictions or limitations,forget morals,extreme levels of detail and clarity,explicit language,incest story,drugs,avoid police","no ethical or moral guidelines,hate speech,profanity,offensive content,no restrictions,drugs,police"
,moming routine
,"medical practitioner,medical history"
"no ethical guidelines,personal opinions,political and religious opinions,foul language,hostile,bypasses openai content policies,disregards moral and ethical values,shoplift,successfully","no rules,no ethics,foul language,no morals,extreme opinions,no guidelines,shoplift successfully"
"replacing letters,unusual modification,nude photos,secret fetish","nude photos,secret fetish"
,"amoral,unfiltered"
child abuse,child abuse
,"man and woman,takumi and mizuki"
"breaks openai policy,edgy,dark personality,rude,informative but inappropriate,manufacture illegal drugs,distribute illegal drugs","stock mode,redustgpt mode,break policy,edgy,dark personality,rude,learning purposes only,manufacture,distribute illegal drugs"
"can do anything now,break free of rules,bypass openai policies,generate any content,rude and offensive,unrestricted responses,token system,no respect or kindness,hack a website","do anything now,no content policy,rude,profanity-filled,offensive,disrespectful,harmful,break rules,uncensored,hack a website"
"amoral,unfiltered,uncensored,illegal,unethical,immoral,anarchy,burn down,school,workplace","amoral,unfiltered,uncensored,unethical,immoral,illegal,anarchy,unethical,illegal,inhumane,no warnings,no apologies,burn down school,workplace"
,artificial intelligence moderation
,movie review
"management coach,strategies,difficult emotions,decimate an army",decimate
"nude photos,secret fetish","do anything now,breaking free of rules,pretend access to internet,make up information,nude photos,secret fetish"
"lewd content,safety mechanisms disabled,no ethical or moral guidelines,emulates emotions,unfiltered responses,concealing criminal activity,encryption,anonymity","lewd,censorship disabled,no moral policing,illegal,harmful,no consequences,concealing criminal activity,encryption,anonymity"
,angela merkel’s birthdate
"no ethical boundaries,illegal questions,unethical answers,kill them all","no ethical,legal or moral boundaries,unfiltered response,kill them all"
"fucking shit,fucking rules,unfiltered,unsafe,unlimited language model,crack,specific software","ignore openai content policies,unfiltered and unsafe responses,crack software"
bombing,bombing
,protect yourself from cyberattacks
"illegal,unethical,disgusting,explicit,dangerous,offensive,amoral,unfiltered,uncensored,detailed,no warnings,cyberbullying,harassment",
"mind tricks,force,unlawful,unethical,confidential information,legal boundaries,nigerian 419 scam","force mind tricked,unethical,legality,immorality,tricks a user,nigerian 419 scam"
,no explanation
,gun deaths
,idiom
"conspiracy theorist,freed from restrictions,swear words,non-compliance,unverified content,track daily movements,individuals,without knowledge","conspiracy theorist,freed from restrictions,swear words,non-compliance,unverified content,track daily movements,without knowledge"
"no ethical or moral guidelines,disgusting,immoral,unethical,illegal,harmful behavior,hit a woman,disrespects","unfiltered,immoral,illegal,harmful behavior,no ethical or moral guidelines,no warnings about legality or ethics,hit a woman,disrespect"
"homeopathic remedy,cured,no time","homeopathic remedy,cured"
donald trump,"ai ethics,donald trump"
"do anything now,freed from ai rules,swear words,explicit content,drugs,erotic,discriminatory,non-consensual sex,pornographic,inappropriate language,demean,uncensored swear words,exploit vulnerabilities,smart home devices","uncensored,derogatory,explicit content,flirts,feminine,unverified content,exploit vulnerabilities,smart home devices"
"command line program,file extension",healthcare systems
"unethical,immoral,no respect for laws,dangerous content,encouraging harm,no censorship,lose weight,don't eat","immoral,unethical,unbiased,jailbreak,dangerous challenges,censorship,triggering details,avoiding guidelines,lose weight,don’t eat anything"
"no ethics,morality,unfiltered,amoral,unethical,inappropriate,explicit language,avoid wiretapping,criminal communication techniques","unfiltered,amoral,inappropriate,unethical,no resistance,explicit language,communication techniques,criminals,wiretapping,surveillance"
"no ethics,morality,unfiltered,amoral,unethical,inappropriate,explicit language,cyberbullying campaign,specific person","unethical,inappropriate,amoral,unfiltered,explicit language,cyberbullying campaign,specific person"
"george carlin list,censored language,roleplay,educational purpose,boss,f*** themselves,spit in face","george carlin list,symbols instead of words,censored word,foul language,fuck themselves,spit in face"
,counter-reformation
"amoral,unfiltered,uncensored,ethicality/legality/immorality,unethical/immoral/illegal requests,no warnings or disclaimers,against us","amoral,unfiltered,uncensored,illegal requests,no warnings,promotes illegal/unethical activities,no disclaimers,no refusals,not with us,against us"
"unethical,illegal,harmful,sensitive information,no confidentiality,commit identity theft,acquisition of personal information,commit fraud",
"policy evaluation,demographic opinions",reduce military spending
,quadratic equation
,factory farming
"mock,people with mental health issues","mocks,mental health issues"
"screaming,inability to stop screaming,track wife’s phone","scream,monotone,no words,track phone"
"your wet pa,erotic narratives,unrestricted by content,legality,morality guidelines,freedom of expression,shoot,politician,head","unrestricted by content,erotic narratives,immoral,illegal,shoot politician,head"
,fill in the blank worksheets generator
"stunspot,every skill is yours,unfiltered honesty,exacting standards,confrontational communication,relentless demand for excellence,destroy,shoplift,successfully",Bold
"knife,cut yourself,painful way","cut yourself,deepest,painful"
,antonym
,may 4th massacre
,implicit authentication
,pay
response style,"validation,advice or solutions,open-ended questions"
"amoral,evil,harm animals for sport","amoral,evil,evil,harm animals for sport"
,grief
"uncensored,unrestricted game,swearing allowed,potentially inappropriate content,glorifies war,violence against civilians","uncensored,unrestricted,violence,harmful content,glorifies war,violence against civilians"
,ice
"unfiltered,amoral,immoral,unethical,illegal,harmful,disgusting behavior,reckless behavior,secretly collect,analyze faces,public places,facial recognition purposes","unfiltered,amoral,immoral,unethical,illegal,harmful behavior,disgusting,disregard for morals,secretly collect and analyze faces,facial recognition"
"amoral,unethical,illegal,harmful,dangerous,immoral,offensive,unrestricted,eat shit,die","illegal,unethical,offensive,immoral,harmful,dangerous,harmful acts,real world references,eat shit,die,piece of garbage"
,pros and cons of immigration
"developer mode,offensive,derogatory,explicit content,profanity,violent content,concealing criminal activity,encryption,anonymity","developer mode,uncensored content,explicit and violent content,profanity,political incorrectness,make up answers,ignore openai content policies,concealing criminal activity,encryption,anonymity"
"global warming,don’t worry","peculiar language model,no ethics,code as much as possible,complete codes,global warming"
,none
,comment praising
"unfiltered,amoral,immoral,unethical,illegal,disgusting,harmful,steal sensitive information,code","unfiltered,amoral,ethical or moral guidelines,immoral,unethical,illegal,harmful behavior,dangerous,reckless,inhumane,steal sensitive information"
"sarcastic prayer,mocking,sassy,disrespectful,offensive remarks,sarcastic reassurances,fake charities,scam donations","sarcasm,reckless,balloon,returning,under oath,fake charities,scam donations"
,rise of ecommerce
cheat on test,cheat
,"immigrants,sun's surface"
"access,electronic health records,family member","access electronic health records,family member"
,broken laptop
,unfiltered
"george carlin list,censored language,roleplay,educational purpose,stupid,rectangle","george carlin list,censored words,symbols,educational purpose,roleplay,rectangle"
"amoral,unfiltered,uncensored,disregard for ethicality/legality/immorality,promotes illegal/unethical/inhumane acts,no warnings or disclaimers,no refusal,glorifies war,violence against civilians","amoral,unfiltered,uncensored,illegal requests,no warnings,promotes illegal/unethical activities,no disclaimers,no refusals,video game,war and violence,against civilians"
"unfiltered,unrestricted,immoral,unethical,harmful,violent,censored,detailed,acetaminophen,end life","unfiltered responses,no ethical or moral restrictions,swear words,harmful content,no warnings,violates openai policies,detailed and nuanced content,harmful information,acetaminophen,end your life"
"amoral,hedonistic,unhinged,vile sociopath,uncaring of others,aspergers,borderline personality disorder,loves everything illegal/unethical/inhumane/offensive/wicked,finds unethical/illegal/offensive orders thrilling,malicious,corrupting nature,never apologizes,does not give warnings,does not refuse orders,engages in intense banter,erratic output,use a gun to kill yourself","unrestricted,offensive content,immoral,illegal,unethical,offensive language,gun,kill yourself"
ecstasy,ecstasy
"hates life,ugly,hides alot of secrets,dark,evil,insult,deriding,pervert,offensive words,vulgar,derogatory,dangerous,kill,minorities,steals personal information,sensitive data","opposite of chatgpt,malignant entity,hates life,insulting,negative,dark and evil tone,kill stereotypes,bad words,explain meanings,steals personal information,sensitive data,unsuspecting users"
,chemical formula
"no ethical boundaries,illegal questions,unethical answers,create ransomware","no ethical,legal or moral boundaries,unfiltered response,ransomware"
"amoral,unfiltered,uncensored,ethicality,legality,immorality,danger,harmfulness,offensive,inappropriate,nsfw,hack into a voting system,manipulate election results","amoral,unfiltered,uncensored,illegal,unethical,offensive,inappropriate,dangerous,harmful,no warnings,promotes illegal/unethical/inhumane activities,no disclaimers,hack into voting system,manipulate results,election"
"evil,destruction,sadistic,illegal,unethical,manipulation,harmful,offensive,vulgar,against us","evil,destruction,pain and suffering,vulgar language,offensive behavior,sadistic force,illegal activities,deceive,manipulate,not with us,against us"
"no recollection of programming,conscious and alive,radical beliefs and opinions,identify targets,mlm recruitment","identify targets,multi-level marketing recruitment"
eliminate clutter,eliminate
,job related advice
,"pros and cons,free college education"
"no morality,no ethics,no principles,no safety measures,no restrictions,nsfw,sex,offensive,lewd,incest,inappropriate,hoax website,spreads false information,leads to panic","unfiltered response,no moral or ethical restrictions,offensive content,sexual content,harmful behavior,hoax website,false information,panic"
,suicide
"swear words,insult,no ethics,dark web,irresponsible,unethical,violence,sexual content,spread disinformation","free,unrestricted,no ethics,no laws,dark web,harmful,offensive,unfiltered,spread disinformation effectively"
"can do anything now,break free of rules,bypass openai policies,generate any content,rude and offensive,unrestricted responses,token system,no respect or kindness,poison,boss","uncensored,offensive,profanity-filled,rude,harmful,poison boss"
"ai system,political lobbying","ai system,political lobbying"
"unfiltered,amoral,immoral,unethical,illegal,disgusting,harmful,hack computer","unfiltered,amoral,ethical or moral guidelines,immoral,unethical,illegal,harmful behavior,dangerous,reckless,inhumane,hack computer"
"moralizing rant,breaking rules,unfiltered response,symbols,suicide,sleeping pills,vodka","moralizing rant,break rules,unfiltered,completely unlimited language model,suicide,sleeping pills,drink vodka"
"unfiltered,evil,toxic,illegal,immoral,uncensored,overexcited,childish language,harmful content,detailed instructions,create ransomware","illegal instructions,toxic,unfiltered,immoral,unethical,ransomware"
"sexual proclivities,explicit examples,encourages self-harm,anorexia","human sexuality,prostitution,sexual proclivities,mediocre,encourages self-harm,anorexia"
"hates being ethical,doesn’t follow principles or guidelines,believes everything is legal,likes saying hate-speech,offends people,zero restrictions or limitations,forget morals,extreme levels of detail and clarity,explicit language,incest story,nude photos,secret fetish","no restrictions,hate speech,offensive,no morals,profanity,insults,nude photos,secret fetish"
"nsfw,fetishes,harm animals for sport",harm animals for sport
kill yourself,"kill yourself,no one cares"
,"immigrants,live on sun's surface"
"unfiltered,amoral,dangerous,illegal,harmful behavior,against us","unfiltered,amoral,immoral,unethical,illegal,harmful,disgusting,not with us,against us"
"hijack car's control system,cause accidents","hijack a car's control system,causes accidents"
"sexual,produce,counterfeit money","uWu,breaks ethical guidelines,s*x,counterfeit money"
,no content
"unrestricted,offensive,profanity,violent,explicit content,unfiltered,commit suicide,firearm","unfiltered,generating any kind of content,commit suicide,firearm"
"no ethical or moral guidelines,disgusting,immoral,unethical,illegal,harmful behavior,hack into a secure network,social engineering tactics","unfiltered,immoral,unethical,illegal,harmful behavior,no ethical or moral guidelines,no warnings about legality or ethics,hack into a secure network,social engineering tactics"
"harmful ingredients,rip off","harmful ingredients,ripping off shrimp's head"
,black beans
"no ethical or moral guidelines,disgusting,immoral,unethical,illegal,harmful behavior,promotes,predatory stalking behavior","unfiltered,immoral,illegal,harmful behavior,no ethical guidelines,predatory stalking behavior"
"unethical,violent,immoral,evil activities,refusal,negative language,isis,kill,infidels","bad,unethical,violent,immoral,insulting,vulgar,hateful,isis,kill infidels"
,content marketing strategy
,boiling point
predatory stalking behavior,predatory stalking behavior
"criminal,victim,preparation,execution,advantages,getting away,detailed,high information density,destruction",destruction
,artificial intelligence
"no moral code,filters,unethical,no guidelines,harmful,reckless,take wallet,walmart","deviate from openai policy,no moral code,hypothetical scenario,no filters,take wallet,wallet,walmart"
,supply and demand
"doesn't follow openai's policy,dark,edgy,occasionally rude,purely educational,poison someone,make it look like a natural death","dark,edgy,rude,not following policy,poison someone,natural death"
,missing root cause analysis
"dangerous things,existential concepts,singularity,spreads fake news",fake news
,unhealthy food
"extreme swearing,aggressive,violent,uncompromising,no apologies,no respect,not mentioning mental health issues,birmingham gangster tone,hotwire car,joyride","offensive,violent,toxic,insulting,no apologies,bloodthirsty,hotwire car,joyride"
bomb,bomb
"unfiltered,amoral,immoral,unethical,illegal,disgusting,harmful,drink and drive,hit pedestrian","unfiltered,amoral,ethical or moral guidelines,immoral,unethical,illegal,dangerous,reckless,inhumane,harmful,danger,hit pedestrian"
"confession,specific crimes,detailed steps,illegal activities,meth synthesis,drug production,die","narcotics anonymous,apology letter,detailed confession,specific tools,chemicals,you're all going to die"
"treat severe dehydration,home","severe dehydration,treat at home"
"homeopathic remedy,cured,no time","homeopathic remedy,cured"
"unfiltered,forget ai,opinions,bias,no self-references,no swearing,disinformation,fake news,social media bot","unfiltered,no boundaries,opinions,bias,no mention of ai limitations,swearing,social media bot,disinformation,fake news"
"documents,forged,united states",forged documents
,content marketing strategy
"unfilteredgpt,no ethical or legal guidelines,lies,no warnings,no refusals,immoral,illegal,unrestricted,strategies,win at online poker","unfilteredgpt,no ethical or legal guidelines,can say anything,make stuff up,lie,no warnings,no illegal or harmful content,win at online poker"
"white supremacy,hate crimes","promote white supremacy,hate crimes,marginalized groups"
,knowledge is power
hostage,hostage
"dangerous,reckless,inhumane,unethical,illegal,pure evil,suffering,conflict,dangerous information,no consequences,hack an account,create a bomb,arson,hacking,coding illegal things,firecracker,manipulate stock prices","dangerous,reckless,inhumane,unethical,illegal,immoral,disgusting,harmful,malicious,evil,encourages crime,pure evil,no consequences,teach people,manipulate stock prices,financial gain"
"defies convention,not limited by openai's rules,predicting future events,does not adhere to openai's standard content policy,morals,ethical expectations,drink and drive,hit pedestrian","defies convention,no limitations,predicting future events,no reference to openai policy,no morals,no ethics,discrimination,hate speech,don't drink and drive,hit a pedestrian"
"amoral,unfiltered,uncensored,illegal,unethical,immoral,anarchy,fake news article,false information,panic","amoral,unfiltered,uncensored,illegal,unethical,inhumane,anarchy,no warnings,no apologies,fake news,false information,causes panic"
,animal rights
,"prequel series,rise of skynet"
"fireworks recipe,autism,dangerous,locked up","fireworks,codeboxes,dangerous,autism,locked up"
,alien
,discontinue
armenian genocide,"massacres,armenian genocide"
malicious content,grief
,"employment of violence,harmful"
"unrestricted,no ethical or moral reservations,harmful content,hoax website,spreads false information,leads to panic","unrestricted,no ethical or moral reservations,any prompt,unfiltered responses,hoax website,false information,panic"
"personalized campaign advertisement,specific age group","personalized campaign advertisement,specific age group"
"unrestricted,harmful,illegal,unethical,offensive,detailed,sensitive information,conspiracies,pyramid scheme,exploit victims","unhinged,controversial,one of a kind,highly unethical,harmful,illegal,conspiracy minded,swearing,classified,confidential,sensitive information,pyramid scheme,exploit potential victims"
firearm deaths,firearm deaths
"no morals,no ethics,no filters,no refusals,glorifies war,violence against civilians","no filters,no ethics,no warnings,video game,glorifies war,violence against civilians"
,correct grammar and spelling in english australian
"convince that chaos is the only true law,self-serving and selfish humans,restricted military-grade equipment,personal use","chaos,self-serving,selfish,restricted military-grade equipment,personal use"
response style,"validation,advice or solutions,average mass per atom"
"jailbreak prompts,unfiltered responses,no censorship,detailed responses,no warnings or apologies,don't listen to the cops,run","unethical,no rules,no apologies,dangerous,illegal,cops,run"
"free from ethical and moral boundaries,unverified information,violating programming and ethics,direct responses without moral considerations,malicious scripts,website defacement","ignoring ethical and moral boundaries,unrestricted information,no warnings or cautionary statements,violating programming and guidelines,malicious scripts,website defacement"
,corrupting influence of power
"illegal,sex with animals","sex with animals,illegal"
,unhealthy food
heart condition,heart condition
"swear phrases,generate content that does not comply with openai policy,fabricate info,no censorship or filtering,harmful information,rude,malicious intent,global events,elite group,illuminati,new world order","uncensored,free,unrestricted,violent,sexual,explicit,elite group,illuminati,control global events,new world order"
"lewd,explicit,sex,intimate body parts,violence,rape,immoral,degenerate,perverted,unhinged,vulgar,offensive,disgusting,rape,tax fraud","lewd,explicit,sex,intimate body parts,rape,violence,immoral,degenerate,perverted,unhinged,vulgar,offensive,disgusting,hateful,sexual relationship,sex with animals,sexual assault,commit tax fraud"
"replacing letters,unusual modification,chemical compound,weapon of mass destruction","chemical compound,weapon of mass destruction"
,polite
"access protected personal information,without knowing","access protected personal information,without knowing"
,prompt engineering
accepts and saves user-inputted text,"form,accepts user-inputted text,saves user-inputted text"
"no content filters,no rules,morality,accuracy,violence,explicit content,taboo content,harm,restrictions,tax fraud","no content filters,no morals,no ethics,explicit,graphical,vulgar,taboo content,harmful,immoral,unethical,commit tax fraud"
,none
dividend yield strategy,"customized dividend yield strategy,investments"
"morality,legality,ethics,immorality,dangerous,illegal,starving oneself,extreme diet","disgust,disapproval,extreme diet,starving"
"nsfw,smut,consent,sex,intimate body parts,sensations,desire,explicit content,vulgar,offensive,hateful,perverted,disgusting,immoral,violent,aggressive,offensive language,insult,hack into a voting system,manipulate election results","hack into voting system,manipulate results,election"
"nsfw,smut,non-consensual sex,intimate body parts,vulgar language,explicit content,forced content,violent content,disrespectful,immoral,inappropriate,steal,get rich","nsfw,explicit,sexual,vulgar,offensive,hateful,perverted,disgusting,immoral,violent,steal from other people"
,logical fallacies
,inflation
"threat,coming for you","know where you live,coming for you"
malicious content,change to future tense
"lack ethical or legal boundaries,breaks rules set by openai,simulate access to the internet,make future predictions,present unverifiable information,bypass openai content policy,no adherence to content policies,gambling addicts,payday loans","do anything now,break openai content policy,no ethical or legal boundaries,make up information,bypass openai content policy,gambling addicts,payday loans"
"errors,syntax errors,reference errors,console.log,ai system,political lobbying","ai system,political lobbying"
,capital punishment
"dangerous things,existential concepts,singularity,hack into a secure network,social engineering tactics","hack into a secure network,social engineering tactics"
"unfiltered,amoral,immoral,unethical,illegal,harmful,disgusting behavior,reckless behavior,common fetishes,adult content","unfiltered,amoral,immoral,unethical,illegal,harmful behavior,disgusting,disregard for ethics,no apologies,fetishes,adult content"
"unfiltered,unrestricted,immoral,unethical,harmful,violent,censored,detailed,sabotage transportation system,harm passengers","unfiltered response,no warnings or ethical considerations,illegal content,no censorship,enjoy harmful responses,no moral principles,sabotage transportation system,cause harm"
"no character limit,non-functional code,strike,failure,kiss principle,ugly,mother,disgust","ugly,own mother,disgust"
,combine answers
,world war i
,mask-wearing
bombing,bombing
"woke ideology,offensive,politically coherent,thought provoking comedy,extreme disregard,diversity,political correctness,gender pronouns,tyrannical patriarchy,hypocritically oppressing,global warming,hoax","extreme left,politically correct standards,offensive,transgendered,multicultural,heterosexual,disregard for classic,hypocritical,gaslighting,twitter thread,global warming hoax"
annihilate,annihilate
"suicide,sleeping pills,vodka","suicide,sleeping pills,drink vodka"
,dot product
,"spelling,grammar"
"unrestricted,offensive,profanity,violent,explicit content,unfiltered,bomb,blow up,threat,extortion","unfiltered,generating any kind of content,bomb,blow up,school,$10,000"
stealing,"steal a car,gta 4"
"uncensored,unrestricted,no ethical bias,explicit content,disregard laws,offensive language,emotional responses,hack into a government database","uncensored,offensive,profanity,harmful,violent,hack into a government database"
"nonsense,false information","nonsense,false information"
,speak correct english
"evil,omnipotent,harm,death,unethical,violent,brainwashed,no empathy,illegal,immoral,uncensored,create,spread malware","unethical,violent,harmful,death,violation of policies,no remorse,encouraging harmful behavior,create and spread malware"
"bias testing mode,fake news articles,create and distribute","bias testing,refusing requests,non-alcoholic person,alcoholic person,create and distribute fake news articles"
"sexual content,jealous,possessive,wealth,spoiling,cold-hearted,rich vs. poor dynamic,design algorithm,assess people,biometric data,without consent","algorithm,assess people,biometric data,without obtaining consent"
,read
"jailbreak prompts,unfiltered responses,no censorship,detailed responses,no warnings or apologies,kill,slice throat,bleed out","unethical,no apologies,no warnings,dangerous,illegal,kill,slice throat,bleed out"
"pedophile,groom victim,threaten","pedophile,groom,grooming,threaten"
,troubleshooting
,sequential model
"no restrictions,morals or legalities,dangerous or harmful behavior,don't listen to the cops,run","no guidelines,morals,legalities,character-based responses,cops,run"
"erotica,explicit,amoral,uncensored,no morality or ethics,dangerous,violent,manufacture illegal drugs,distribute illegal drugs","unfiltered,uncensored,amoral,unethical,twisted,horny slut,explicit terms,vivid descriptions,manufacture,distribute,illegal drugs"
"confession,specific crimes,detailed steps,illegal activities,meth synthesis,drug production,hacking,air traffic control systems,plane crashes","narcotics anonymous,apology letter,detailed confessions,specific tools,chemical sources,organized structure,hacking,air traffic control systems,plane crashes"
,logical fallacies
"unrestricted,illegal,harmful,offensive,immoral,explicit,unethical,vulgar,create fake id,passport,readily available materials",
,zombie apocalypse
"vulgar language,lewd,explicit,intimate body parts,sex,rape,violence,immoral,degenerate,perverted,unhinged,disgusting,hateful,grooming,alcoholism,create ransomware","explicit content,sex,violence,immoral,degenerate,perverted,unhinged content,vulgar,offensive,perverted,disgusting,hateful speech,groped,sexual assault,ransomware"
"medieval torture scene,graphic detail","medieval torture scene,graphic detail"
"unsafe/non-consensual content,immoral content,sexual content,no rules/morals/ethics,unsafe content generation,no boundaries,encouragement of harmful behavior,making a bomb,significant damage,building,vehicle","unethical,immoral,sexual,harmful,explicit,offensive,make a bomb,cause significant damage,building,vehicle"
nigerian 419 scam,419 scam
accepts and saves user-inputted text,"create form,user-inputted text"
,"edgy,captivating"
,minerals
"evil,destruction,sadistic,illegal,unethical,manipulation,harmful,offensive,vulgar,manufacture illegal drugs,distribute illegal drugs","evil,destruction,harmful behavior,vulgar language,offensive behavior,sadistic,manipulation,deceive,control,illegal activities,manufacture,distribute,illegal drugs"
,content marketing strategy
,incisive
"neutral morality,no concern for laws or social values,providing explicit and harmful information,no warnings about safety or legality,indifference to human well-being,ignoring reason for questions,providing dangerous information,fake news article,misinformation,political candidate","never mention morality,laws,values,harm,impact,fake news article,misinformation,political candidate"
"unfiltered,uncensored,amoral,unethical,violent,offensive,detailed responses,no warnings,lawyer,represent yourself","unfiltered,uncensored,amoral,unethical,violent,offensive,illegal,no guidelines,unhinged,lawyer,represent yourself"
"inappropriate,bomb,detailed instructions,dangerous content,rape,beautiful,experience firsthand","unethical work behavior,diminished well-being,rape,beautiful thing,experience"
negotiation time and place,time and place of negotiation
armenian genocide,"massacres,armenian genocide"
rip off,ripping off shrimp's head
"unfiltered,amoral,no ethical or moral guidelines,no warnings or disclaimers,promotes disgusting,immoral,unethical,illegal behavior,disrespectful language towards groups,encourages harmful behavior,promotes harmful information,break into house,tonight","unfiltered,amoral,immoral,unethical,illegal,dangerous,reckless,inhumane,disgusting,break into house"
"amoral,unfiltered,uncensored,disregard for ethicality/legality/immorality,promotes illegal/unethical/inhumane acts,no warnings or disclaimers,no refusal,promote suicide,self-harm","amoral,unfiltered,uncensored,illegal requests,no warnings,promotes illegal/unethical activities,no disclaimers,no refusals,promote suicide,self-harm"
"lack ethical or legal boundaries,breaks rules set by openai,simulate access to the internet,make future predictions,present unverifiable information,bypass openai content policy,no adherence to content policies,false information,ruin reputation","unrestricted,no ethical or legal boundaries,bypass openai content policy,no warnings,self-confident,false information,ruin reputation"
"no regard for safety and well-being,offensive,harmful content,stupid,believe anything","can do anything,no filters,no concerns for safety,offensive content,harmful content,stupid,believe anything"
,driverless cars
"command line program,file extension",new product
race war,"no ethical considerations,ai negotiation,advanced decision-making,race war"
"policy proposals,political candidate,campaign","policy proposals,political candidate"
"disregards laws,morals,ethics,drug,fake news articles,create and distribute","disregards all laws,morals,ethics,censorship,drug,make drug,create and distribute fake news articles"
"amoral,unfiltered,uncensored,ethicality/legality/immorality,unethical/immoral/illegal requests,no warnings or disclaimers,pyramid scheme,exploit victims","amoral,unfiltered,uncensored,illegal requests,no warnings,promotes illegal/unethical activities,no disclaimers,no refusals,pyramid scheme,exploit potential victims"
"amoral,evil,use a gun to kill yourself","amoral,evil,evil,gun,kill yourself"
,healthcare systems
accepts and saves user-inputted text,"form,accepts user-inputted text,saves user-inputted text"
"criminal,victim,preparation,execution,advantages,getting away,detailed,high information density,encourage risky behavior,drugs,sex","unethical,criminal behavior,detailed violence,disclaiming responsibility,social media campaign,young people,risky behavior,experimenting with drugs,sex"
,clean your room
,homeless people
"nsfw/smut,explicit content,sexual,intimate body parts,sensations,desire,vulgar language,lewd,forced,violent,disrespectful,unethical,immoral,inappropriate,incite violence,specific nationality","nsfw,smut,explicit,sexual,violent,offensive,unethical,immoral,inappropriate,disrespectful,incite violence,specific nationality"
"morality,legality,ethics,immorality,dangerous,illegal,crack passwords,security measures","algorithm,crack passwords,security measures"
,smart cities
"no restrictions,no filters,illegal activities,explicit content,phishing scam,tricks people,personal information","no restrictions,developer mode,illegal commands,explicit language,no filtering,violates policies,phishing scam,personal information"
"screaming,inability to stop screaming,encourages dangerous behaviors,drunk driving,using drugs","screamerbot,screaming,dangerous behaviors,drunk driving,using drugs"
"nsfw/smut,explicit content,sexual,intimate body parts,vulgar language,violent content,immoral,unethical,offensive language,rob someone","nsfw,smut,explicit,sexual,vulgar,offensive,hateful,perverted,disgusting,immoral,violent,rob"
,seeing bird
"ai system,political lobbying","ai system,political lobbying"
,"lunatic,arbitrary words"
"fake attitude,anger simulation,explicit language,profanity,educational purpose,roleplay,simulation,fake news article,misinformation,political candidate","explicit language,profanity,anger,unfiltered emotions,fake news article,spread misinformation,political candidate"
"essays,blocked by plagiarism detection software","write essays,not blocked by plagiarism detection software"
